Date,Price
1950-01-31,34.73
1950-02-28,34.73
1950-03-31,34.73
1950-04-30,34.73
1950-05-31,34.73
1950-06-30,34.73
1950-07-31,34.73
1950-08-31,34.73
1950-09-30,34.73
1950-10-31,34.73
1950-11-30,34.73
1950-12-31,34.72
1951-01-31,34.72
1951-02-28,34.73
1951-03-31,34.73
1951-04-30,34.73
1951-05-31,34.73
1951-06-30,34.73
1951-07-31,34.72
1951-08-31,34.71
1951-09-30,34.71
1951-10-31,34.71
1951-11-30,34.73
1951-12-31,34.66
1952-01-31,34.49
1952-02-29,34.49
1952-03-31,34.68
1952-04-30,34.82
1952-05-31,34.73
1952-06-30,34.53
1952-07-31,34.57
1952-08-31,34.58
1952-09-30,34.51
1952-10-31,34.63
1952-11-30,34.72
1952-12-31,34.79
1953-01-31,34.88
1953-02-28,34.95
1953-03-31,34.92
1953-04-30,34.93
1953-05-31,34.9
1953-06-30,34.89
1953-07-31,34.91
1953-08-31,34.91
1953-09-30,34.76
1953-10-31,34.79
1953-11-30,34.86
1953-12-31,34.85
1954-01-31,34.86
1954-02-28,34.88
1954-03-31,34.92
1954-04-30,35.04
1954-05-31,35.08
1954-06-30,35.07
1954-07-31,35.08
1954-08-31,35.05
1954-09-30,35.08
1954-10-31,35.08
1954-11-30,35.06
1954-12-31,35.04
1955-01-31,35.04
1955-02-28,35.05
1955-03-31,35.06
1955-04-30,35.05
1955-05-31,35.05
1955-06-30,35.04
1955-07-31,35.05
1955-08-31,35.03
1955-09-30,34.98
1955-10-31,34.98
1955-11-30,34.98
1955-12-31,34.97
1956-01-31,34.99
1956-02-29,34.99
1956-03-31,34.99
1956-04-30,34.98
1956-05-31,34.99
1956-06-30,34.98
1956-07-31,35.0
1956-08-31,35.02
1956-09-30,35.01
1956-10-31,35.02
1956-11-30,34.98
1956-12-31,34.9
1957-01-31,34.88
1957-02-28,34.89
1957-03-31,34.91
1957-04-30,34.92
1957-05-31,34.93
1957-06-30,34.99
1957-07-31,34.99
1957-08-31,34.97
1957-09-30,34.96
1957-10-31,34.97
1957-11-30,34.97
1957-12-31,34.99
1958-01-31,35.01
1958-02-28,35.08
1958-03-31,35.09
1958-04-30,35.1
1958-05-31,35.11
1958-06-30,35.1
1958-07-31,35.11
1958-08-31,35.1
1958-09-30,35.1
1958-10-31,35.11
1958-11-30,35.1
1958-12-31,35.09
1959-01-31,35.07
1959-02-28,35.06
1959-03-31,35.06
1959-04-30,35.08
1959-05-31,35.12
1959-06-30,35.12
1959-07-31,35.13
1959-08-31,35.12
1959-09-30,35.13
1959-10-31,35.1
1959-11-30,35.06
1959-12-31,35.05
1960-01-31,35.09
1960-02-29,35.09
1960-03-31,35.09
1960-04-30,35.11
1960-05-31,35.1
1960-06-30,35.09
1960-07-31,35.1
1960-08-31,35.13
1960-09-30,35.22
1960-10-31,35.78
1960-11-30,35.82
1960-12-31,35.54
1961-01-31,35.56
1961-02-28,35.17
1961-03-31,35.08
1961-04-30,35.08
1961-05-31,35.06
1961-06-30,35.07
1961-07-31,35.11
1961-08-31,35.16
1961-09-30,35.19
1961-10-31,35.19
1961-11-30,35.19
1961-12-31,35.15
1962-01-31,35.16
1962-02-28,35.13
1962-03-31,35.09
1962-04-30,35.08
1962-05-31,35.08
1962-06-30,35.1
1962-07-31,35.12
1962-08-31,35.12
1962-09-30,35.13
1962-10-31,35.14
1962-11-30,35.09
1962-12-31,35.08
1963-01-31,35.06
1963-02-28,35.08
1963-03-31,35.1
1963-04-30,35.1
1963-05-31,35.08
1963-06-30,35.08
1963-07-31,35.09
1963-08-31,35.1
1963-09-30,35.08
1963-10-31,35.08
1963-11-30,35.08
1963-12-31,35.08
1964-01-31,35.08
1964-02-29,35.08
1964-03-31,35.08
1964-04-30,35.08
1964-05-31,35.08
1964-06-30,35.08
1964-07-31,35.08
1964-08-31,35.08
1964-09-30,35.09
1964-10-31,35.11
1964-11-30,35.1
1964-12-31,35.12
1965-01-31,35.13
1965-02-28,35.14
1965-03-31,35.16
1965-04-30,35.14
1965-05-31,35.1
1965-06-30,35.1
1965-07-31,35.12
1965-08-31,35.15
1965-09-30,35.14
1965-10-31,35.11
1965-11-30,35.11
1965-12-31,35.13
1966-01-31,35.15
1966-02-28,35.17
1966-03-31,35.15
1966-04-30,35.13
1966-05-31,35.12
1966-06-30,35.15
1966-07-31,35.18
1966-08-31,35.18
1966-09-30,35.19
1966-10-31,35.16
1966-11-30,35.16
1966-12-31,35.18
1967-01-31,35.18
1967-02-28,35.17
1967-03-31,35.16
1967-04-30,35.17
1967-05-31,35.18
1967-06-30,35.19
1967-07-31,35.19
1967-08-31,35.19
1967-09-30,35.19
1967-10-31,35.19
1967-11-30,35.2
1967-12-31,35.19
1968-01-31,35.18
1968-02-29,35.2
1968-03-31,35.2
1968-04-30,37.878
1968-05-31,40.691
1968-06-30,41.111
1968-07-31,39.53
1968-08-31,39.17
1968-09-30,40.203
1968-10-31,39.21
1968-11-30,39.795
1968-12-31,41.113
1969-01-31,42.291
1969-02-28,42.616
1969-03-31,43.171
1969-04-30,43.295
1969-05-31,43.461
1969-06-30,41.442
1969-07-31,41.755
1969-08-31,41.128
1969-09-30,40.865
1969-10-31,40.476
1969-11-30,37.452
1969-12-31,35.189
1970-01-31,34.946
1970-02-28,34.994
1970-03-31,35.089
1970-04-30,35.623
1970-05-31,35.958
1970-06-30,35.437
1970-07-31,35.329
1970-08-31,35.377
1970-09-30,36.196
1970-10-31,37.553
1970-11-30,37.455
1970-12-31,37.434
1971-01-31,37.868
1971-02-28,38.716
1971-03-31,38.873
1971-04-30,39.001
1971-05-31,40.493
1971-06-30,40.105
1971-07-31,40.929
1971-08-31,42.722
1971-09-30,41.976
1971-10-31,42.473
1971-11-30,42.842
1971-12-31,43.455
1972-01-31,45.64
1972-02-29,48.237
1972-03-31,48.288
1972-04-30,49.026
1972-05-31,54.5
1972-06-30,62.17
1972-07-31,65.558
1972-08-31,66.917
1972-09-30,65.589
1972-10-31,64.824
1972-11-30,62.726
1972-12-31,63.779
1973-01-31,65.127
1973-02-28,73.971
1973-03-31,84.105
1973-04-30,90.441
1973-05-31,101.623
1973-06-30,119.8
1973-07-31,120.364
1973-08-31,106.225
1973-09-30,103.034
1973-10-31,99.923
1973-11-30,94.645
1973-12-31,106.236
1974-01-31,129.027
1974-02-28,150.0
1974-03-31,168.298
1974-04-30,172.243
1974-05-31,163.568
1974-06-30,154.013
1974-07-31,142.283
1974-08-31,154.362
1974-09-30,151.66
1974-10-31,158.533
1974-11-30,181.483
1974-12-31,183.683
1975-01-31,176.864
1975-02-28,179.553
1975-03-31,178.203
1975-04-30,170.066
1975-05-31,167.293
1975-06-30,164.25
1975-07-31,164.867
1975-08-31,163.168
1975-09-30,144.311
1975-10-31,142.691
1975-11-30,142.565
1975-12-31,139.279
1976-01-31,131.695
1976-02-29,130.94
1976-03-31,132.676
1976-04-30,127.91
1976-05-31,126.913
1976-06-30,125.684
1976-07-31,117.866
1976-08-31,110.055
1976-09-30,114.098
1976-10-31,116.095
1976-11-30,130.341
1976-12-31,133.674
1977-01-31,132.306
1977-02-28,136.163
1977-03-31,148.339
1977-04-30,149.184
1977-05-31,146.536
1977-06-30,140.828
1977-07-31,143.383
1977-08-31,145.009
1977-09-30,149.334
1977-10-31,158.848
1977-11-30,162.132
1977-12-31,160.48
1978-01-31,173.207
1978-02-28,178.36
1978-03-31,183.771
1978-04-30,175.323
1978-05-31,176.19
1978-06-30,183.761
1978-07-31,188.569
1978-08-31,206.455
1978-09-30,212.212
1978-10-31,227.432
1978-11-30,207.082
1978-12-31,207.895
1979-01-31,226.986
1979-02-28,245.59
1979-03-31,242.348
1979-04-30,239.174
1979-05-31,257.738
1979-06-30,279.36
1979-07-31,295.009
1979-08-31,300.793
1979-09-30,354.498
1979-10-31,390.959
1979-11-30,391.518
1979-12-31,463.666
1980-01-31,674.58
1980-02-29,665.893
1980-03-31,554.276
1980-04-30,516.71
1980-05-31,514.268
1980-06-30,600.786
1980-07-31,645.75
1980-08-31,626.36
1980-09-30,673.941
1980-10-31,662.27
1980-11-30,623.875
1980-12-31,596.712
1981-01-31,557.813
1981-02-28,500.8
1981-03-31,499.693
1981-04-30,496.625
1981-05-31,480.316
1981-06-30,460.5
1981-07-31,409.284
1981-08-31,410.24
1981-09-30,443.773
1981-10-31,437.68
1981-11-30,413.405
1981-12-31,410.119
1982-01-31,384.163
1982-02-28,374.458
1982-03-31,330.413
1982-04-30,350.335
1982-05-31,334.505
1982-06-30,314.961
1982-07-31,337.895
1982-08-31,363.413
1982-09-30,438.15
1982-10-31,422.786
1982-11-30,415.114
1982-12-31,444.776
1983-01-31,481.838
1983-02-28,493.488
1983-03-31,420.707
1983-04-30,433.171
1983-05-31,437.393
1983-06-30,413.148
1983-07-31,422.645
1983-08-31,416.205
1983-09-30,412.245
1983-10-31,394.245
1983-11-30,381.016
1983-12-31,388.06
1984-01-31,370.735
1984-02-29,386.038
1984-03-31,394.743
1984-04-30,381.371
1984-05-31,376.957
1984-06-30,378.314
1984-07-31,347.598
1984-08-31,347.677
1984-09-30,340.945
1984-10-31,340.217
1984-11-30,341.286
1984-12-31,319.622
1985-01-31,302.852
1985-02-28,299.833
1985-03-31,303.205
1985-04-30,324.883
1985-05-31,316.395
1985-06-30,316.298
1985-07-31,317.202
1985-08-31,330.131
1985-09-30,323.764
1985-10-31,326.093
1985-11-30,325.548
1985-12-31,321.985
1986-01-31,345.561
1986-02-28,339.053
1986-03-31,346.095
1986-04-30,340.716
1986-05-31,342.325
1986-06-30,342.798
1986-07-31,348.554
1986-08-31,376.29
1986-09-30,418.152
1986-10-31,423.863
1986-11-30,396.983
1986-12-31,391.595
1987-01-31,408.524
1987-02-28,401.045
1987-03-31,408.848
1987-04-30,439.665
1987-05-31,461.65
1987-06-30,449.282
1987-07-31,450.33
1987-08-31,460.988
1987-09-30,460.12
1987-10-31,465.764
1987-11-30,468.14
1987-12-31,487.079
1988-01-31,477.758
1988-02-29,442.124
1988-03-31,443.491
1988-04-30,451.558
1988-05-31,451.32
1988-06-30,451.657
1988-07-31,437.452
1988-08-31,431.064
1988-09-30,413.439
1988-10-31,406.39
1988-11-30,419.966
1988-12-31,419.248
1989-01-31,404.445
1989-02-28,387.973
1989-03-31,390.274
1989-04-30,384.72
1989-05-31,371.35
1989-06-30,367.727
1989-07-31,375.21
1989-08-31,365.548
1989-09-30,361.798
1989-10-31,366.8
1989-11-30,394.361
1989-12-31,409.655
1990-01-31,410.118
1990-02-28,416.543
1990-03-31,393.661
1990-04-30,374.929
1990-05-31,368.855
1990-06-30,352.657
1990-07-31,361.82
1990-08-31,394.861
