Category: All categories

Month,Gold price: (Worldwide)
2004-12,10
2005-01,9
2005-02,6
2005-03,6
2005-04,6
2005-05,5
2005-06,7
2005-07,7
2005-08,6
2005-09,7
2005-10,6
2005-11,10
2005-12,15
2006-01,13
2006-02,10
2006-03,8
2006-04,12
2006-05,14
2006-06,9
2006-07,10
2006-08,9
2006-09,9
2006-10,8
2006-11,9
2006-12,9
2007-01,10
2007-02,9
2007-03,7
2007-04,7
2007-05,7
2007-06,6
2007-07,7
2007-08,7
2007-09,9
2007-10,10
2007-11,13
2007-12,10
2008-01,21
2008-02,15
2008-03,20
2008-04,16
2008-05,11
2008-06,10
2008-07,13
2008-08,14
2008-09,19
2008-10,40
2008-11,19
2008-12,19
2009-01,19
2009-02,27
2009-03,24
2009-04,19
2009-05,15
2009-06,15
2009-07,14
2009-08,13
2009-09,17
2009-10,21
2009-11,25
2009-12,24
2010-01,21
2010-02,23
2010-03,19
2010-04,19
2010-05,43
2010-06,23
2010-07,20
2010-08,18
2010-09,18
2010-10,20
2010-11,23
2010-12,23
2011-01,26
2011-02,23
2011-03,23
2011-04,19
2011-05,25
2011-06,20
2011-07,35
2011-08,66
2011-09,54
2011-10,43
2011-11,42
2011-12,39
2012-01,36
2012-02,30
2012-03,30
2012-04,23
2012-05,27
2012-06,30
2012-07,28
2012-08,27
2012-09,31
2012-10,28
2012-11,27
2012-12,26
2013-01,28
2013-02,28
2013-03,27
2013-04,51
2013-05,33
2013-06,37
2013-07,35
2013-08,31
2013-09,29
2013-10,30
2013-11,28
2013-12,34
2014-01,31
2014-02,29
2014-03,29
2014-04,23
2014-05,20
2014-06,22
2014-07,23
2014-08,23
2014-09,23
2014-10,26
2014-11,33
2014-12,31
2015-01,45
2015-02,37
2015-03,30
2015-04,23
2015-05,21
2015-06,24
2015-07,29
2015-08,28
2015-09,23
2015-10,21
2015-11,22
2015-12,25
2016-01,25
2016-02,33
2016-03,29
2016-04,22
2016-05,21
2016-06,28
2016-07,28
2016-08,22
2016-09,19
2016-10,21
2016-11,26
2016-12,24
2017-01,22
2017-02,21
2017-03,17
2017-04,18
2017-05,17
2017-06,17
2017-07,20
2017-08,21
2017-09,20
2017-10,17
2017-11,18
2017-12,21
2018-01,22
2018-02,20
2018-03,18
2018-04,15
2018-05,17
2018-06,17
2018-07,17
2018-08,22
2018-09,20
2018-10,23
2018-11,21
2018-12,24
2019-01,26
2019-02,27
2019-03,22
2019-04,19
2019-05,17
2019-06,31
2019-07,33
2019-08,50
2019-09,38
2019-10,32
2019-11,34
2019-12,36
2020-01,55
2020-02,60
2020-03,100
2020-04,71
2020-05,56
2020-06,47
2020-07,66
